# Rotation curve calculated from MOND simulation
# Radius(kpc)	V_circ(km/s)	a/a0
1.000	93.017	2.336650e+00
2.000	138.869	2.604039e+00
3.000	192.646	3.340894e+00
4.000	230.698	3.593301e+00
5.000	286.878	4.445172e+00
6.000	329.321	4.881482e+00
7.000	365.021	5.140469e+00
8.000	342.699	3.964610e+00
9.000	328.817	3.244369e+00
10.000	302.062	2.464091e+00
11.000	327.894	2.639601e+00
12.000	279.518	1.758337e+00
13.000	282.558	1.658578e+00
14.000	277.058	1.480735e+00
15.000	268.901	1.301846e+00
16.000	262.259	1.160931e+00
17.000	256.694	1.046761e+00
18.000	250.946	9.448268e-01
19.000	245.323	8.554379e-01
20.000	240.467	7.808098e-01
21.000	236.202	7.174858e-01
22.000	232.382	6.628969e-01
23.000	228.949	6.154836e-01
24.000	225.854	5.739992e-01
25.000	223.052	5.374476e-01
26.000	220.506	5.050488e-01
27.000	218.186	4.761643e-01
28.000	216.062	4.502592e-01
29.000	214.104	4.268914e-01
30.000	212.292	4.057062e-01
31.000	210.613	3.864342e-01
32.000	209.072	3.688977e-01
33.000	207.695	3.530231e-01
34.000	206.537	3.388290e-01
35.000	205.646	3.263160e-01
36.000	204.996	3.152502e-01
37.000	204.449	3.050943e-01
38.000	203.847	2.953181e-01
39.000	203.128	2.857184e-01
40.000	202.321	2.763663e-01
41.000	201.482	2.673948e-01
42.000	200.654	2.588880e-01
43.000	199.861	2.508714e-01
44.000	199.111	2.433333e-01
45.000	198.406	2.362448e-01
46.000	197.745	2.295713e-01
47.000	197.124	2.232780e-01
48.000	196.540	2.173325e-01
49.000	195.989	2.117053e-01
50.000	195.468	2.063702e-01
