# Rotation curve calculated from MOND simulation
# Radius(kpc)	V_circ(km/s)	a/a0
1.000	238.720	1.539012e+01
2.000	265.000	9.482573e+00
3.000	236.748	5.045632e+00
4.000	215.843	3.145442e+00
5.000	259.416	3.634870e+00
6.000	237.526	2.539427e+00
7.000	226.282	1.975458e+00
8.000	213.649	1.540903e+00
9.000	257.113	1.983675e+00
10.000	212.088	1.214782e+00
11.000	197.433	9.569952e-01
12.000	221.447	1.103630e+00
13.000	208.851	9.061380e-01
14.000	204.712	8.083917e-01
15.000	202.210	7.361729e-01
16.000	200.228	6.767001e-01
17.000	198.523	6.260896e-01
18.000	197.032	5.824613e-01
19.000	195.725	5.445051e-01
20.000	194.571	5.112024e-01
21.000	193.548	4.817510e-01
22.000	192.633	4.555178e-01
23.000	191.811	4.320005e-01
24.000	191.067	4.107962e-01
25.000	190.391	3.915787e-01
26.000	189.774	3.740806e-01
27.000	189.208	3.580813e-01
28.000	188.688	3.433965e-01
29.000	188.208	3.298713e-01
30.000	187.765	3.173744e-01
31.000	187.354	3.057936e-01
32.000	186.972	2.950327e-01
33.000	186.618	2.850080e-01
34.000	186.287	2.756466e-01
35.000	185.979	2.668846e-01
36.000	185.690	2.586657e-01
37.000	185.419	2.509402e-01
38.000	185.163	2.436638e-01
39.000	184.922	2.367975e-01
40.000	184.693	2.303066e-01
41.000	184.476	2.241603e-01
42.000	184.268	2.183312e-01
43.000	184.070	2.127950e-01
44.000	183.880	2.075297e-01
45.000	183.698	2.025159e-01
46.000	183.522	1.977360e-01
47.000	183.354	1.931740e-01
48.000	183.192	1.888155e-01
49.000	183.036	1.846473e-01
50.000	182.886	1.806575e-01
