# MOND N-body snapshot at t = 0.800 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
0 6.609503 21.127232 19.243109 -97.939 160.652 6.977 5.000e+07 1
1 0.156740 22.236885 17.433649 63.039 -42.895 128.563 5.000e+07 1
2 0.328508 51.762589 13.839128 8.703 -138.082 75.053 5.000e+07 1
3 3.204385 19.382098 20.460391 -215.757 -116.535 28.319 5.000e+07 1
4 0.889435 14.925408 18.465776 -74.928 -31.503 -37.126 5.000e+07 1
5 2.335297 16.239723 20.228936 -96.930 -91.185 -56.662 5.000e+07 1
6 3.509852 23.255727 27.256734 -37.491 -19.911 -119.784 5.000e+07 1
7 7.316701 19.994513 18.365540 -177.206 -33.387 284.543 5.000e+07 1
8 7.194506 11.121134 21.597005 200.491 121.607 86.601 5.000e+07 1
9 3.362485 16.755936 21.228407 -119.456 337.402 20.817 5.000e+07 1
10 2.114473 19.581504 19.884882 -52.272 -258.179 -125.042 5.000e+07 1
11 4.275051 19.857188 20.694985 0.000 249.335 -100.996 5.000e+07 1
12 2.656609 18.583721 19.474766 -110.580 121.973 12.287 5.000e+07 1
13 1.576607 23.785916 21.021489 -140.614 -13.403 17.431 5.000e+07 1
14 34.293470 27.720290 19.318613 -151.890 -6.051 48.487 5.000e+07 1
15 3.202715 19.850391 20.818470 -167.709 -21.027 -195.270 5.000e+07 1
16 3.599391 17.779765 23.317485 -46.177 61.099 71.909 5.000e+07 1
17 6.230470 20.418177 15.674639 -69.644 2.893 253.944 5.000e+07 1
18 2.210220 18.269724 18.519802 -69.570 -24.621 27.071 5.000e+07 1
19 0.734619 19.624154 21.533137 96.333 -29.344 105.186 5.000e+07 1
20 3.223802 21.439898 19.213548 22.614 -179.577 -34.636 5.000e+07 1
21 4.662451 16.402195 20.844028 -140.172 93.150 -31.666 5.000e+07 1
22 2.306004 17.442333 22.347988 -180.258 6.088 74.931 5.000e+07 1
23 2.532756 16.885890 21.477785 30.364 -229.053 -211.497 5.000e+07 1
24 1.345436 17.248994 20.438585 251.314 -53.297 14.458 5.000e+07 1
25 4.378089 19.766851 21.187415 168.083 91.296 86.816 5.000e+07 1
26 -4.369807 -8.674527 37.172197 -19.643 -78.840 51.447 5.000e+07 1
27 2.847316 18.178070 21.778814 0.089 -6.228 63.087 5.000e+07 1
28 1.794830 17.436408 17.515513 141.787 -114.658 -1.948 5.000e+07 1
29 4.535227 21.050856 21.418297 -103.048 -23.227 -15.861 5.000e+07 1
30 4.625239 17.441837 23.024084 -12.854 91.109 -81.288 5.000e+07 1
31 3.950296 19.927083 19.778044 112.355 108.441 98.709 5.000e+07 1
32 0.547191 17.718065 20.494554 40.580 44.219 186.821 5.000e+07 1
33 2.854639 19.773665 21.318525 -107.840 58.087 107.170 5.000e+07 1
34 3.811953 16.677861 21.558503 -160.371 156.820 -127.084 5.000e+07 1
35 -1.074402 18.527869 20.895414 -39.800 10.535 118.630 5.000e+07 1
36 4.509288 14.622196 19.434890 -41.792 -82.161 -10.999 5.000e+07 1
37 9.287161 23.224387 32.036578 -109.513 -86.848 -63.520 5.000e+07 1
38 4.016892 18.975821 20.544668 77.835 -0.507 247.786 5.000e+07 1
39 5.888270 11.003270 19.991544 190.383 141.696 50.312 5.000e+07 1
40 2.118526 16.852471 21.904923 300.913 92.720 -29.759 5.000e+07 1
41 6.330808 14.625882 19.685108 81.612 -6.026 251.867 5.000e+07 1
42 3.636783 19.966413 20.691456 -244.763 -66.875 63.257 5.000e+07 1
43 -54.546841 20.184827 23.302013 -185.244 56.461 42.050 5.000e+07 1
44 -12.377088 -8.606588 14.979081 -47.186 -45.768 -37.092 5.000e+07 1
45 3.776717 18.576016 21.794509 0.172 257.244 -181.394 5.000e+07 1
46 2.894313 16.083057 20.919472 134.459 -3.724 -7.910 5.000e+07 1
47 1.412654 16.886090 20.270169 31.721 -11.944 -182.007 5.000e+07 1
48 2.991347 17.789545 20.839766 -106.259 128.591 -28.434 5.000e+07 1
49 2.972533 17.295050 21.414068 73.102 -164.103 -87.096 5.000e+07 1
50 1.727456 17.082664 20.525467 76.013 10.758 135.486 5.000e+07 1
51 4.792250 17.813997 21.702868 -88.260 65.401 172.907 5.000e+07 1
52 -6.131302 6.629380 20.968699 24.330 22.807 -45.591 5.000e+07 1
53 45.772970 26.243463 56.850118 -176.287 -67.661 -132.827 5.000e+07 1
54 -3.910146 16.718349 19.643371 79.125 -83.985 98.859 5.000e+07 1
55 4.189615 16.970801 19.641707 24.808 202.852 -76.376 5.000e+07 1
56 2.664547 18.109462 22.408026 -88.658 230.345 105.309 5.000e+07 1
57 2.178948 16.817538 20.560539 49.822 124.449 145.345 5.000e+07 1
58 0.391360 14.893507 20.794507 -42.402 -60.386 -67.270 5.000e+07 1
59 2.159276 19.518656 22.107321 -76.388 -56.109 108.055 5.000e+07 1
60 2.941831 22.675002 20.491400 24.376 85.507 126.154 5.000e+07 1
61 3.413965 21.287240 20.576853 -65.103 78.129 88.304 5.000e+07 1
62 4.189710 16.759384 21.544320 11.070 154.576 37.107 5.000e+07 1
63 2.313738 17.299537 20.890430 -54.155 -24.115 78.711 5.000e+07 1
64 1.780948 15.123578 21.259516 233.606 135.401 121.395 5.000e+07 1
65 -5.850293 18.840512 23.004603 -229.948 14.434 135.054 5.000e+07 1
66 2.929750 23.192042 20.395360 -207.881 -97.418 -18.559 5.000e+07 1
67 47.841363 -20.040898 11.021616 -0.831 36.106 36.587 5.000e+07 1
68 -0.540021 10.745495 20.844065 -30.965 -189.603 -37.698 5.000e+07 1
69 0.771482 21.030580 21.785449 -233.471 7.654 16.398 5.000e+07 1
70 -4.544081 14.824377 21.572196 79.533 39.231 42.096 5.000e+07 1
71 1.356032 17.871026 18.926028 -294.390 -102.253 -63.248 5.000e+07 1
72 2.604392 14.476976 21.020851 -48.817 157.912 -60.595 5.000e+07 1
